title_id,genre_id
tm142086,1
ts22018,3
ts22018,8
ts22018,14
ts30311,3
ts30311,6
ts30311,8
ts30311,12
ts30311,14
ts30311,16
tm95252,17
tm95252,1
tm95252,6
tm95252,7
tm136808,17
ts21197,1
ts21197,15
ts21197,6
ts21197,9
ts21197,7
tm195620,6
tm195620,18
tm195620,17
tm195620,11
tm109137,9
tm109137,3
tm109137,8
tm109137,14
tm109137,2
tm84613,3
tm84613,6
tm84613,14
tm173551,9
tm173551,14
tm173551,2
tm173551,6
tm173551,8
tm94606,11
tm94606,6
tm94606,9
tm94606,17
tm94606,7
tm136308,4
tm136308,6
tm136308,17
tm136308,7
tm82985,17
tm82985,3
tm145593,6
tm145593,1
tm145593,4
tm145593,17
tm150260,2
tm150260,6
tm150260,14
tm150260,3
tm150260,8
tm150260,9
tm150260,15
ts30313,6
ts30313,3
tm119111,17
tm119111,9
tm119111,15
tm119111,1
tm119111,11
tm130647,17
tm130647,6
tm130647,14
tm130647,7
tm32919,17
tm32919,6
tm23935,6
tm23935,9
tm23935,14
tm23935,5
tm137143,17
tm137143,15
tm137143,1
tm137143,7
tm28905,3
tm44486,17
tm44486,6
tm44486,1
tm44486,4
tm44486,7
tm39487,14
tm39487,3
tm39487,6
tm169949,6
tm169949,14
tm169949,9
tm169949,3
ts35155,15
ts35155,1
ts35155,3
ts35155,6
ts35155,2
tm184913,4
tm184913,1
tm184913,6
tm184913,17
tm118637,6
tm118637,17
tm118637,4
tm58382,3
tm40009,6
tm40009,4
tm40009,10
tm40009,17
ts12787,15
ts12787,2
ts12787,1
ts12787,6
ts12787,17
ts12787,18
tm154470,17
tm154470,15
tm154470,9
tm154470,18
tm154470,1
tm22294,3
tm22294,8
tm78067,17
tm78067,6
tm78067,4
tm78067,11
tm148379,9
tm148379,3
tm148379,8
tm76428,5
tm76428,3
tm21467,11
tm21467,17
tm21467,1
tm21467,4
tm21467,9
tm21467,7
tm46436,17
tm46436,11
tm46436,9
tm57190,15
tm57190,17
tm57190,1
tm37546,3
tm37546,9
tm37546,2
tm37546,8
tm37546,12
tm37546,14
tm30205,6
tm30205,9
tm30205,1
tm30205,10
tm159310,6
tm159310,16
tm159310,7
tm89592,1
tm89592,17
tm89592,9
tm89592,11
tm89592,15
tm167516,14
tm167516,3
tm79895,11
tm88045,6
tm88045,3
tm88045,14
tm111600,3
tm111600,14
tm143938,11
tm143938,9
tm143938,15
tm143938,1
tm143938,17
tm31187,14
tm31187,6
tm31187,10
tm141390,11
tm141390,17
tm74780,6
tm74780,3
tm74780,7
tm150214,11
tm150214,1
ts21544,1
ts21544,3
ts21544,6
ts21544,8
ts21544,15
ts21544,2
tm176528,6
tm176528,14
tm176528,7
tm102337,11
tm102337,17
tm102337,4
tm102337,6
tm36188,6
tm36188,1
tm36188,17
tm88382,14
tm88382,3
tm88382,8
ts31263,13
tm47523,2
tm47523,1
tm47523,3
