title_id,country_id
tm146657,247
tm146657,2
tm146657,77
tm146657,109
tm146657,102
ts82860,198
tm159819,177
tm183805,105
tm458034,233
tm175954,233
tm182227,233
tm159094,105
ts36127,233
tm157609,68
tm179328,999
tm151860,230
tm151860,233
tm151860,48
tm151860,57
tm151860,198
tm139922,233
tm184511,105
ts67797,233
tm157461,225
tm178992,95
tm144541,10
tm215339,233
tm177645,999
tm200926,2
tm200926,127
tm181092,105
tm183002,105
tm144557,225
tm205684,164
tm167107,105
tm143299,105
tm175753,105
tm185736,233
tm460055,233
tm460055,68
tm182580,127
tm157681,183
tm197423,164
tm162259,233
tm167342,105
tm169054,105
tm169294,177
tm178234,2
tm178234,127
tm132675,233
tm155014,38
tm188290,177
tm187505,177
tm155051,38
tm183654,95
tm176900,105
tm179248,105
tm158546,105
tm250364,999
tm157062,105
tm144451,247
tm171891,105
tm242276,105
tm187118,105
tm202914,233
tm159296,105
tm186408,105
tm156397,177
tm166723,177
tm155507,233
tm159701,233
tm163066,77
tm323262,114
ts20238,48
tm149541,233
tm181051,110
tm181051,183
tm181051,75
tm181051,57
tm146144,105
tm147908,105
tm150962,105
tm1194608,105
tm577690,164
tm136036,177
tm177224,105
tm1036195,183
tm142852,177
tm180738,105
ts32752,228
tm188108,233
tm147405,233
ts144527,198
tm157286,105
tm157783,105
ts107543,198
tm177376,233
tm145658,177
tm610571,105
tm176553,164
tm176553,233
tm175364,105
tm529733,105
tm138280,105
ts261583,164
tm175577,164
tm481846,999
ts8,233
ts36577,77
ts38796,233
ts21867,38
ts37143,233
ts35251,233
ts41766,233
ts36885,233
ts37539,114
ts37490,233
ts41961,233
ts42069,233
ts42069,77
ts37866,75
tm232579,171
